,POS_A,POS_B,POS_C,POS_D,POS_E,POS_F,NEG_A,NEG_B,NEG_C,NEG_D,NEG_E,NEG_F,NEG_G,NEG_H,circCCDC66,CDR1as (ciRS-7),circCDYL,circFAT3,circFBXW7,circHIPK3,circSLC8A1,circSMARCA5,circZKSCAN1,circZNF609,circZNF91,circRP11-255H23.2,ACK1,CCNE1,CDK1,EGFR,EIF4E,FAK,FOS,HOXB13,IGF1-R,IRS1,IRS2,KLF4,MTOR,NR4A3,PAK1,PIK3CD,RAF1,RB1,SP1,YY1,LINC00632_T1,LINC00632_T2,LINC00632_T3
Colon cancer 1,97891.0,22806.0,5889.0,1480.0,353.0,134.0,21.0,11.0,6.0,15.0,21.0,18.0,10.0,8.0,98.77,1756.09,170.95,10.45,171.9,467.28,362.8,410.29,369.45,198.5,140.56,24.69,776.89,366.6,2238.56,501.47,1922.29,1968.83,13705.83,82.63,1095.06,290.62,1438.87,2140.73,1320.15,403.64,1303.06,522.36,2215.76,766.45,992.49,2362.03,20.89,2.85,33.24
Colon cancer 2,90420.0,21964.0,5718.0,1379.0,313.0,120.0,20.0,12.0,6.0,23.0,29.0,25.0,9.0,18.0,179.62,7643.87,385.24,43.45,279.52,2995.35,1742.81,1094.13,482.75,309.29,449.56,37.63,605.57,257.28,473.51,1225.85,1791.74,1404.44,13429.29,905.62,680.84,441.01,468.38,6207.27,1238.85,283.63,1563.19,131.04,2045.94,877.91,756.45,2172.18,27.71,20.53,28.74
Colon cancer 3,100374.0,24014.0,5937.0,1528.0,313.0,127.0,27.0,4.0,4.0,20.0,36.0,24.0,3.0,4.0,109.83,7231.87,206.34,14.98,234.63,1001.75,369.41,520.84,362.76,158.08,111.49,38.27,1056.66,317.83,928.53,780.43,1545.88,1708.96,22056.71,9.98,1178.13,417.67,12471.9,926.86,936.85,903.57,990.1,174.72,2286.38,963.47,913.55,2610.86,16.64,8.32,84.87
Colon cancer 4,96960.0,22654.0,5857.0,1441.0,332.0,132.0,25.0,10.0,3.0,13.0,17.0,28.0,1.0,5.0,100.34,1259.78,228.54,8.36,115.67,727.44,392.98,369.29,264.78,150.5,75.25,9.75,586.69,595.05,1672.27,569.97,1959.34,1233.3,8967.55,58.53,827.77,182.56,749.73,1142.72,1163.62,188.13,1187.31,137.96,2037.38,983.85,939.26,2335.6,18.12,4.18,22.3
Colon cancer 5,90671.0,22006.0,5488.0,1296.0,350.0,133.0,21.0,6.0,3.0,11.0,22.0,19.0,1.0,2.0,141.01,5522.5,226.28,22.96,177.09,1092.04,823.13,1013.33,236.12,344.34,193.48,16.4,1278.96,429.6,1033.01,508.31,1626.58,1269.13,18767.99,131.18,905.11,295.15,865.76,2056.18,1298.64,800.17,819.85,796.89,2374.28,669.0,1141.23,2239.83,16.4,3.28,42.63
Colon cancer 6,72361.0,17891.0,4644.0,1044.0,274.0,102.0,14.0,12.0,1.0,10.0,15.0,20.0,1.0,4.0,105.5,1305.69,288.3,13.58,161.91,718.65,554.66,350.97,324.86,141.01,313.37,37.6,1556.39,420.96,667.47,928.61,1609.66,1874.98,9026.0,71.03,1205.42,379.17,1878.11,918.16,1382.99,523.32,1334.94,164.0,2655.26,1816.48,893.09,2069.26,13.58,5.22,28.2
Colon cancer 7,113723.0,26617.0,6523.0,1632.0,426.0,157.0,22.0,13.0,2.0,18.0,28.0,30.0,4.0,2.0,108.36,7026.18,238.38,13.19,277.01,1221.12,188.45,420.23,688.77,183.73,427.77,38.63,1158.0,385.37,1714.85,727.4,1645.13,2702.3,10436.09,159.24,1147.63,220.48,1454.8,1675.28,1139.15,151.7,1305.93,151.7,1691.3,794.3,1170.24,2316.93,7.54,2.83,46.17
Colon cancer 8,122744.0,28465.0,7222.0,1761.0,404.0,168.0,20.0,11.0,7.0,11.0,30.0,39.0,1.0,2.0,120.04,4308.35,360.11,29.2,175.19,921.36,613.16,652.09,304.96,194.65,295.23,58.4,1573.46,493.12,564.5,940.83,1249.03,2241.77,18540.84,84.35,1119.26,450.95,1852.46,1758.38,1803.8,253.05,1161.44,412.02,2978.21,1219.83,1310.67,1738.91,51.91,9.73,71.37
Colon cancer 9,107535.0,24777.0,6158.0,1577.0,386.0,158.0,27.0,14.0,4.0,17.0,28.0,36.0,4.0,4.0,115.36,8088.36,314.45,22.33,240.03,1768.57,241.89,427.96,432.61,219.56,252.12,12.09,766.6,378.65,1585.3,460.52,956.39,1380.62,18281.15,35.35,765.67,227.93,1540.64,1442.95,974.06,368.41,703.34,245.61,1896.96,904.29,916.38,2048.6,15.82,1.86,127.46
Colon cancer 10,110949.0,26483.0,6365.0,1650.0,379.0,144.0,19.0,10.0,3.0,13.0,25.0,23.0,1.0,4.0,178.73,8609.93,212.08,24.01,501.52,1492.57,325.46,605.56,509.53,172.07,593.56,2.67,1659.3,382.81,920.35,666.92,1200.46,2046.11,16038.09,28.01,1153.77,612.23,1131.1,1028.39,1045.73,854.99,947.03,470.85,2799.73,1159.11,1440.55,2686.35,22.68,2.67,76.03
Colon cancer 11,100259.0,23946.0,6038.0,1601.0,383.0,146.0,22.0,16.0,9.0,19.0,30.0,25.0,3.0,7.0,123.05,4126.8,244.3,31.67,128.48,1104.76,492.21,440.64,379.11,145.67,290.44,79.62,1266.72,262.39,751.89,346.54,1307.44,1944.42,17982.04,131.2,694.89,360.11,1098.43,999.81,1061.33,617.08,1274.87,211.72,1981.52,1465.78,909.33,2522.59,8.14,6.33,30.76
Colon cancer 12,97397.0,22153.0,5843.0,1395.0,324.0,134.0,18.0,17.0,2.0,5.0,24.0,22.0,3.0,2.0,120.84,7456.77,225.39,29.87,257.97,1018.31,298.71,897.47,416.83,289.2,226.74,4.07,964.0,566.18,507.8,397.82,1713.48,2177.83,31127.8,39.37,955.86,238.96,886.61,2612.31,1697.19,1098.42,966.72,401.89,2904.23,901.55,1617.08,2209.06,14.94,2.72,54.31
Colon cancer 13,85312.0,20370.0,5439.0,1315.0,320.0,128.0,23.0,9.0,2.0,11.0,19.0,30.0,4.0,4.0,115.66,1926.95,271.33,8.0,293.88,976.93,443.73,628.5,429.91,170.95,195.68,7.27,1008.94,927.47,1483.95,368.81,1155.15,1992.42,12156.76,769.62,1163.88,333.89,604.49,1329.74,1561.06,142.58,1234.44,237.14,2764.22,939.11,1385.02,2975.9,6.55,2.18,20.37
Colon cancer 14,87532.0,20791.0,5535.0,1308.0,305.0,119.0,20.0,10.0,3.0,14.0,25.0,26.0,5.0,7.0,145.95,8952.54,225.88,13.9,271.92,1000.81,321.44,375.3,315.36,194.6,178.1,19.98,1073.78,474.34,518.65,346.63,1710.58,1838.29,13763.72,106.86,970.4,289.3,933.91,860.07,958.24,648.96,1297.05,312.75,1887.81,1000.81,1139.81,2436.86,11.29,1.74,72.11
Colon cancer 15,100998.0,22846.0,6059.0,1534.0,335.0,129.0,19.0,7.0,4.0,14.0,25.0,14.0,8.0,5.0,58.78,2315.21,219.31,20.35,101.74,673.76,395.67,316.53,194.44,187.66,97.22,24.87,931.51,752.9,1164.39,296.18,1858.5,2147.9,7149.11,289.4,926.99,255.49,416.01,974.47,1440.22,334.62,1017.43,171.83,2609.13,884.03,1449.27,2491.56,18.09,11.3,58.78
Colon cancer 16,96661.0,22223.0,5921.0,1438.0,322.0,149.0,21.0,12.0,4.0,8.0,18.0,29.0,2.0,5.0,483.25,25080.06,512.54,92.74,1591.3,2523.63,1078.76,1483.91,410.03,439.32,131.79,9.76,1532.72,351.45,283.11,288.0,1522.96,1176.39,73107.06,4.88,829.82,273.35,1142.22,1225.2,1352.12,2513.86,463.72,824.94,2997.11,800.53,1225.2,2787.22,29.29,4.88,200.13
Colon cancer 17,94735.0,20478.0,5925.0,1422.0,311.0,121.0,28.0,6.0,6.0,16.0,23.0,20.0,6.0,6.0,130.52,2515.57,253.63,10.38,271.43,1191.04,617.03,531.0,381.19,215.07,221.0,19.28,1364.58,401.96,707.5,461.29,1269.65,1929.69,8906.84,68.23,949.27,493.92,1598.93,588.85,1385.34,571.05,1064.96,622.96,2172.94,1220.7,1001.18,2402.84,16.32,5.93,45.98
Colon cancer 18,96224.0,22236.0,5731.0,1391.0,320.0,118.0,28.0,8.0,7.0,11.0,27.0,29.0,5.0,6.0,95.3,3395.73,358.03,22.32,139.95,1024.3,247.27,376.06,300.51,135.66,255.86,26.62,858.59,406.97,942.73,677.43,1144.5,2814.46,11410.68,582.98,1254.4,298.79,1354.86,1131.62,983.95,827.68,1468.19,207.78,2149.05,1214.91,949.6,2723.45,9.44,5.15,57.53
Colon cancer 19,99386.0,22875.0,6132.0,1517.0,324.0,140.0,18.0,7.0,6.0,8.0,18.0,24.0,1.0,4.0,112.15,2866.39,262.78,31.89,105.55,836.72,543.15,470.58,348.54,191.31,193.51,23.09,1428.25,362.83,1208.35,746.56,1291.91,1710.82,17740.38,95.66,1053.32,558.54,1532.7,1418.35,1658.04,381.53,1032.43,270.48,2299.05,1324.89,989.55,2004.38,15.39,14.29,63.77
Colon cancer 20,93896.0,21893.0,5801.0,1453.0,310.0,135.0,18.0,16.0,4.0,12.0,30.0,22.0,3.0,4.0,64.57,9041.59,149.43,46.12,188.17,926.11,402.18,374.5,254.59,208.47,53.5,5.53,986.99,383.73,1440.83,448.3,1581.03,1704.64,25209.83,86.71,715.8,191.86,675.21,1935.24,1145.65,522.09,841.25,440.92,2780.18,767.46,964.85,2296.83,18.45,3.69,103.31
Colon cancer 21,106576.0,24491.0,6283.0,1595.0,366.0,152.0,22.0,7.0,4.0,18.0,33.0,26.0,4.0,4.0,98.89,4244.98,203.17,91.7,102.48,756.94,521.41,584.34,413.53,115.07,127.65,3.6,769.53,289.47,1220.81,325.43,1400.61,1503.09,17771.01,61.13,845.04,253.51,1289.14,983.48,958.31,142.04,1042.81,266.1,1769.19,1585.8,1379.03,2630.41,19.78,8.99,41.35
Colon cancer 22,109014.0,24709.0,6305.0,1657.0,409.0,142.0,31.0,4.0,5.0,7.0,25.0,33.0,4.0,5.0,120.17,2647.14,328.81,18.36,163.57,721.04,405.58,667.63,555.8,168.58,185.27,13.35,660.95,1236.78,1892.72,495.71,1967.83,1655.71,7105.21,13.35,951.37,226.99,717.7,1088.23,857.9,171.91,1195.05,196.95,1867.68,914.65,1069.87,2603.74,15.02,1.67,35.05
Colon cancer 23,95615.0,22443.0,5705.0,1464.0,316.0,141.0,26.0,8.0,1.0,7.0,25.0,30.0,2.0,5.0,82.97,3600.76,111.04,14.64,102.5,850.47,274.54,556.4,545.42,272.1,348.97,62.23,527.12,146.42,1417.85,944.42,1947.41,1843.7,8099.57,140.32,1053.02,203.77,829.72,1317.8,852.91,81.75,1333.66,107.38,1957.17,1077.42,1073.76,2760.05,20.74,2.44,37.83
Colon cancer 24,85359.0,20018.0,5250.0,1292.0,274.0,109.0,30.0,5.0,5.0,8.0,24.0,16.0,8.0,8.0,190.36,7131.87,332.72,45.52,217.67,1706.62,229.26,400.58,603.36,170.5,385.69,96.01,1214.99,190.36,1911.87,542.11,1445.91,2074.09,12137.51,26.48,710.95,398.1,2939.82,1152.09,1022.98,425.41,1733.1,219.33,2396.05,1690.06,1123.12,2797.46,13.24,1.66,64.56
Colon cancer 25,102383.0,23420.0,6285.0,1594.0,370.0,157.0,28.0,11.0,5.0,9.0,31.0,21.0,5.0,7.0,102.79,1502.23,215.35,27.33,167.2,1094.96,562.12,398.82,306.43,164.6,118.41,65.06,1194.5,199.08,476.89,769.01,1135.29,2133.31,16175.15,1025.99,742.98,472.33,2051.33,2700.63,1099.51,376.05,1326.57,290.17,2068.9,1374.71,933.61,1843.79,10.41,7.81,22.12
Colon cancer 26,101011.0,23585.0,6163.0,1528.0,349.0,169.0,19.0,13.0,1.0,13.0,24.0,21.0,10.0,8.0,86.68,8994.51,204.64,47.36,286.86,932.96,436.99,428.05,159.07,228.77,74.17,7.15,1468.25,222.52,655.93,620.19,1276.12,1325.27,14228.57,15.19,910.62,294.9,701.51,1340.46,1175.14,1269.87,777.47,464.69,2107.21,739.94,846.28,1923.12,24.13,8.04,122.43
Colon cancer 27,99676.0,22079.0,5787.0,1486.0,332.0,127.0,20.0,6.0,4.0,11.0,30.0,22.0,2.0,3.0,185.73,7180.31,194.18,56.99,185.73,1148.17,578.31,899.12,310.26,196.29,48.54,8.44,1563.96,318.7,303.93,495.99,1295.92,1728.59,22047.47,424.23,1217.82,451.67,1515.42,1620.95,1397.23,808.36,884.35,563.53,2792.34,930.78,1158.73,2256.25,46.43,46.43,141.41
Colon cancer 28,94930.0,21623.0,5662.0,1437.0,324.0,129.0,20.0,10.0,7.0,8.0,30.0,18.0,4.0,4.0,72.26,1191.43,228.54,25.21,87.38,468.84,169.72,394.9,317.6,124.35,70.58,6.72,1107.41,804.93,1167.9,536.06,1418.29,1485.51,4873.27,494.05,712.51,290.72,453.72,663.77,922.56,326.0,1577.93,263.83,1976.19,804.93,1109.09,2063.58,78.98,115.95,90.74
Colon cancer 29,112356.0,25579.0,6620.0,1677.0,405.0,167.0,24.0,10.0,7.0,12.0,32.0,19.0,4.0,4.0,144.72,2829.31,246.95,35.18,187.2,904.16,509.83,554.97,501.2,151.36,323.29,71.03,1199.57,255.58,995.1,470.67,1299.81,1545.43,25548.72,51.12,683.1,510.5,1413.99,1982.9,1072.77,919.42,1190.94,175.92,2395.82,1463.11,990.46,2457.55,15.27,13.94,58.42
Colon cancer 30,94080.0,21753.0,5513.0,1406.0,295.0,124.0,25.0,8.0,6.0,9.0,14.0,31.0,5.0,9.0,117.8,3125.33,246.87,11.9,130.33,770.05,241.23,453.01,240.6,119.05,107.77,3.13,1478.08,462.41,1576.45,268.8,1547.0,1266.92,3674.2,201.76,444.24,368.42,1201.76,1269.43,1135.34,464.29,1209.91,797.0,2081.46,1023.81,966.17,2134.1,74.56,90.23,113.41
Colon cancer 31,89002.0,20762.0,5278.0,1304.0,315.0,146.0,22.0,7.0,4.0,7.0,27.0,15.0,6.0,9.0,94.44,2423.85,264.74,7.26,218.74,831.36,311.56,414.87,408.41,173.54,422.14,8.88,1122.74,1983.96,2038.85,889.47,1941.18,1607.02,7382.95,357.56,243.76,566.62,417.29,1403.62,1328.56,180.8,1986.38,499.62,2484.39,969.38,1356.81,2010.6,8.07,5.65,23.41
Colon cancer 32,105269.0,23910.0,6124.0,1529.0,350.0,147.0,29.0,10.0,8.0,13.0,20.0,17.0,3.0,5.0,117.98,2309.1,163.73,12.04,252.82,902.93,311.81,511.66,233.56,167.34,124.0,8.43,1018.51,648.91,1513.32,453.87,1893.75,1804.66,4206.47,52.97,502.03,124.0,2611.29,951.09,1029.35,213.09,1191.87,388.86,2369.3,1341.16,1045.0,2719.64,10.84,2.41,24.08
